bolide,火流星
stirs,搅动
mantle,覆盖层
volcanism,火山作用
pummeling,连续猛击
philosophical,哲学上的
pickle,泡菜
geneticist,遗传学家
anthropologist,人类学家
thyroid,甲状腺
conspecifics,同类的
timescale,时标
locus,轨迹
fowl,鸡禽
plucky,大胆
nasty,下流的，令人难受的
trauma,"精神创伤,痛苦经历"
verdict,结论
mutation,基因突变
deficit,不足
turning things on the head,脑洞有点大
hare,野兔
twigs,树枝
shedding,去掉，摆脱
stands out,显露
thick,厚的
paws,爪子
lean,精瘦
heyday,全盛时期
conservatory,温室，音乐学校
reinvent,以新形象示人
choir,唱诗班
vocalizations,发声
blowholes,气孔
nasal,鼻子
sacs,囊
pouch,袋子
acoustical,声学的
speckled,布满斑点的
sacs,袋子
squirting,喷射
nestle,安居
anatomy,解剖学
southward,向南方的
Antarctica,南极洲
virtually,实际上
traits,特性
niche,合适的位置
immobolize,使不动，使固定
dirps,水滴，滴下
solitary,孤僻的，独居的
swamp,沼泽
distressed,痛苦
